repository,url,age,releases,stars,loc,cbo,dit,lcom,visited
linyiqun/DataMiningAlgorithm,https://github.com/linyiqun/DataMiningAlgorithm,8,0,3660,11663,2.0,3.0,0.0,True
201206030/novel,https://github.com/201206030/novel,3,9,3659,4167,2.0,4.0,0.0,True
ryanhoo/StylishMusicPlayer,https://github.com/ryanhoo/StylishMusicPlayer,6,0,3656,5777,3.0,4.0,0.0,True
jetlinks/jetlinks-community,https://github.com/jetlinks/jetlinks-community,3,16,3656,38656,6.0,6.0,0.0,True
apache/incubator-heron,https://github.com/apache/incubator-heron,7,56,3649,70653,4.0,7.0,1.0,True
qunarcorp/bistoury,https://github.com/qunarcorp/bistoury,3,8,3646,73638,3.0,9.0,1.0,True
h2database/h2database,https://github.com/h2database/h2database,7,18,3640,226823,4.0,35.0,3.0,True
knowm/XChange,https://github.com/knowm/XChange,11,0,3632,156090,4.0,8.0,0.0,True
crate/crate,https://github.com/crate/crate,9,59,3628,439595,5.0,14.0,1.0,True
litesuits/android-common,https://github.com/litesuits/android-common,8,0,3626,6519,2.0,4.0,1.0,True
Exrick/xboot,https://github.com/Exrick/xboot,4,6,3625,10265,6.0,4.0,0.0,True
Ereza/CustomActivityOnCrash,https://github.com/Ereza/CustomActivityOnCrash,8,12,3622,893,4.0,2.0,0.0,True
oshi/oshi,https://github.com/oshi/oshi,11,138,3621,31251,4.0,19.0,1.0,True
mpusher/mpush,https://github.com/mpusher/mpush,6,9,3620,15032,3.0,4.0,1.0,True
CameraKit/blurkit-android,https://github.com/CameraKit/blurkit-android,6,3,3611,497,5.0,3.0,0.0,True
google/rejoiner,https://github.com/google/rejoiner,5,3,3608,3566,5.0,8.0,0.0,True
rockerhieu/emojicon,https://github.com/rockerhieu/emojicon,9,2,3608,2971,4.0,4.0,0.0,True
jindrapetrik/jpexs-decompiler,https://github.com/jindrapetrik/jpexs-decompiler,8,146,3607,278646,3.0,111.0,1.0,True
Atmosphere/atmosphere,https://github.com/Atmosphere/atmosphere,12,0,3607,41883,4.0,9.0,1.0,True
tianshiyeben/wgcloud,https://github.com/tianshiyeben/wgcloud,4,17,3606,6105,3.0,2.0,21.0,True
tyrantgit/ExplosionField,https://github.com/tyrantgit/ExplosionField,7,0,3589,343,2.0,2.0,0.0,True
stfalcon-studio/ChatKit,https://github.com/stfalcon-studio/ChatKit,6,1,3588,4680,3.0,47.0,0.0,True
stylefeng/Guns,https://github.com/stylefeng/Guns,5,0,3584,328,6.0,2.0,0.0,True
osmandapp/OsmAnd,https://github.com/osmandapp/OsmAnd,12,1,3583,598682,4.0,121.0,1.0,True
kikoso/android-stackblur,https://github.com/kikoso/android-stackblur,9,0,3582,933,0.0,3.0,0.0,True
dongjunkun/DropDownMenu,https://github.com/dongjunkun/DropDownMenu,7,2,3581,513,3.0,2.0,0.0,True
ant-media/Ant-Media-Server,https://github.com/ant-media/Ant-Media-Server,6,43,3581,77827,2.0,6.0,1.0,True
rubenlagus/TelegramBots,https://github.com/rubenlagus/TelegramBots,7,77,3581,17143,7.0,8.0,0.0,True
zendesk/maxwell,https://github.com/zendesk/maxwell,8,197,3578,17374,4.0,4.0,0.0,True
johncarl81/parceler,https://github.com/johncarl81/parceler,9,0,3573,10156,3.0,23.0,0.0,True
promeG/TinyPinyin,https://github.com/promeG/TinyPinyin,7,2,3566,1401,1.0,3.0,0.0,True
ddd-by-examples/library,https://github.com/ddd-by-examples/library,4,0,3562,1770,5.0,4.0,0.0,True
JeremyLiao/LiveEventBus,https://github.com/JeremyLiao/LiveEventBus,4,0,3559,7584,2.0,3.0,0.0,True
nytimes/Store,https://github.com/nytimes/Store,6,0,3558,11288,5.0,52.0,1.0,True
DV8FromTheWorld/JDA,https://github.com/DV8FromTheWorld/JDA,7,69,3557,52722,6.0,6.0,3.0,True
JavaNoober/BackgroundLibrary,https://github.com/JavaNoober/BackgroundLibrary,4,13,3554,8029,4.0,2.0,0.0,True
ethanhua/Skeleton,https://github.com/ethanhua/Skeleton,5,0,3551,752,3.0,3.0,0.0,True
jacoco/jacoco,https://github.com/jacoco/jacoco,10,44,3550,33298,3.0,7.0,0.0,True
jbloch/effective-java-3e-source-code,https://github.com/jbloch/effective-java-3e-source-code,4,0,3545,3018,1.0,5.0,0.0,True
lsjwzh/RecyclerViewPager,https://github.com/lsjwzh/RecyclerViewPager,8,10,3544,2735,2.0,4.0,0.0,True
wendux/DSBridge-Android,https://github.com/wendux/DSBridge-Android,6,2,3542,1841,2.0,2.0,0.0,True
